id,Importance,difficult,category1,category2,original,question,explanation,notes1,notes2,notes3,notes4,notes5
1,2,初級,会計,財政法,財政法第１条　国の予算その他財政の基本に関しては、この法律の定めるところによる。,財政法第１条　国の予算その他財政の基本に関しては、政令の定めるところによる。,「この法律」を「政令」に変更している点が誤り。正しくは「この法律の定めるところによる」である。,2026_08_15,m,-,-,-
21,2,中級,会計,財政法,財政法第１９条　内閣は、国会、裁判所及び会計検査院の歳出見積を減額した場合においては、国会、裁判所又は会計検査院の送付に係る歳出見積について、その詳細を歳入歳出予算に附記するとともに、国会が、国会、裁判所又は会計検査院に係る歳出額を修正する場合における必要な財源についても明記しなければならない。,財政法第１９条　内閣は、国会、裁判所及び会計検査院の歳出見積を増額した場合においては、国会、裁判所又は会計検査院の送付に係る歳出見積について、その詳細を歳入歳出予算に附記するとともに、国会が、国会、裁判所又は会計検査院に係る歳出額を修正する場合における必要な財源についても明記しなければならない。,「歳出見積を減額した場合」を「歳出見積を増額した場合」に変更している点が誤り。正しくは「歳出見積を減額した場合」である。,2026_08_15,m,-,-,-
41,2,中級,会計,財政法,財政法第３８条　財務大臣は、歳入決算明細書及び歳出の決算報告書に基いて、歳入歳出の決算を作成しなければならない。②　歳入歳出の決算は、歳入歳出予算と同一の区分により、これを作製し、且つ、これに左の事項を明らかにしなければならない。（一）　歳入　一　歳入予算額　二　徴収決定済額（徴収決定のない歳入については収納後に徴収済として整理した額）　三　収納済歳入額　四　不納欠損額　五　収納未済歳入額　（二）　歳出　一　歳出予算額　二　前年度繰越額　三　予備費使用額　四　流用等増減額　五　支出済歳出額　六　翌年度繰越額　七　不用額,財政法第３８条　財務大臣は、歳入決算明細書及び歳出の決算報告書に基いて、歳入歳出の決算を作成しなければならない。②　歳入歳出の決算は、歳入歳出予算と同一の区分により、これを作製し、且つ、これに左の事項を明らかにしなければならない。（一）　歳入　一　歳入予算額　二　徴収決定済額（徴収決定のない歳入については収納後に徴収済として整理した額）　三　収納済歳入額　四　不納欠損額　五　収納未済歳入額　（二）　歳出　一　歳出予算額　二　前年度繰越額　三　予備費使用額　四　流用等増減額　五　支出済歳出額　六　翌年度繰越額　七　未使用額,第２項（二）第七号の「不用額」を「未使用額」に変更している点が誤り。正しくは「不用額」である。,2026_08_15,m,-,-,-
61,1,中級,会計,会計法,会計法第６条　歳入徴収官は、歳入を徴収するときは、これを調査決定し、政令で定めるものを除き、債務者に対して納入の告知をしなければならない。,会計法第６条　歳入徴収官は、歳入を徴収するときは、これを調査決定し、財務省令で定めるものを除き、債務者に対して納入の告知をしなければならない。,「政令で定めるもの」を「財務省令で定めるもの」に変更している点が誤り。正しくは「政令で定めるもの」である。,2026_08_15,m,-,-,-
81,1,中級,会計,会計法,会計法第２２条　各省各庁の長は、運賃、傭船料、旅費その他経費の性質上前金又は概算を以て支払をしなければ事務に支障を及ぼすような経費で政令で定めるものについては、前金払又は概算払をすることができる。,会計法第２２条　各省各庁の長は、運賃、傭船料、旅費その他経費の性質上前金又は概算を以て支払をしなければ事務に支障を及ぼすような経費で政令で定めるものについては、前金払及び概算払をすることができる。,「前金払又は概算払」を「前金払及び概算払」に変更している点が誤り。正しくは「前金払又は概算払」である。,2026_08_15,m,-,-,-
102,2,上級,会計,会計法,会計法第４０条の２　各省各庁の長は、必要があるときは、政令の定めるところにより、他の各省各庁所属の職員を出納官吏、分任出納官吏又は出納官吏代理とすることができる。②　前項の場合において、各省各庁の長は、特に必要があると認めるときは、政令の定めるところにより、当該他の各省各庁所属の職員を出納員とすることができる。,会計法第４０条の２　各省各庁の長は、必要があるときは、政令の定めるところにより、他の各省各庁所属の職員を出納官吏、分任出納官吏又は出納官吏代理とすることができる。②　前項の場合において、各省各庁の長は、必要があると認めるときは、政令の定めるところにより、当該他の各省各庁所属の職員を出納員とすることができる。,第２項の「特に必要があると認めるとき」を「必要があると認めるとき」に変更している点が誤り。正しくは「特に必要があると認めるとき」である。,2026_08_15,m,-,-,-
122,2,中級,会計,予算決算及び会計令,予算決算及び会計令第４条　支出官において毎会計年度に属する経費を精算して支出するのは、翌年度の四月三十日限りとする。ただし、国庫内における移換のためにする支出又は会計法第二十条第一項の規定により歳出金に繰替使用した現金の補てんのためにする支出については、翌年度の五月三十一日まで、小切手を振り出し又は国庫金振替書若しくは支払指図書を発することができる。,予算決算及び会計令第４条　支出官において毎会計年度に属する経費を精算して支出するのは、翌年度の四月三十日限りとする。ただし、国庫内における移換のためにする支出又は会計法第二十条第一項の規定により歳出金に繰替使用した現金の補てんのためにする支出については、翌年度の六月三十日まで、小切手を振り出し又は国庫金振替書若しくは支払指図書を発することができる。,ただし書の「翌年度の五月三十一日まで」を「翌年度の六月三十日まで」に変更している点が誤り。正しくは「翌年度の五月三十一日まで」である。,2026_08_15,m,-,-,-
142,2,上級,会計,予算決算及び会計令,予算決算及び会計令第１８条の５　各省各庁の長は、前条の規定により財務大臣の承認を経た支出負担行為の実施計画を変更する必要があるときは、その理由、科目及び金額を明らかにした書類を財務大臣に送付し、その承認を受けなければならない。,予算決算及び会計令第１８条の５　各省各庁の長は、前条の規定により財務大臣の承認を経た支出負担行為の実施計画を変更する必要があるときは、その理由、科目及び金額を明らかにした書類を財務大臣に送付し、その承認を受けることができる。,「承認を受けなければならない」を「承認を受けることができる」に変更している点が誤り。正しくは「承認を受けなければならない」である。,2026_08_15,m,-,-,-
162,2,上級,会計,予算決算及び会計令,予算決算及び会計令第２５条の４　各省各庁の長は、会計法第四十六条の二の規定により、繰越しの手続に関する事務を委任する場合においては、繰越しに係る経費の支出負担行為を行なうべき支出負担行為担当官に委任するものとする。ただし、各省各庁の長が必要があると認めるときは、当該支出負担行為担当官以外の職員に委任することができる。②　各省各庁の長は、前項ただし書の場合においては、当該各省各庁又は他の各省各庁に置かれた官職を指定することにより、その官職にある者に当該事務を委任することができる。③　各省各庁の長は、第一項ただし書の場合において、その委任しようとする職員が他の各省各庁所属の職員であるときは、当該職員（当該職員が前項の規定により指定される官職にある者である場合においては、その官職）について、あらかじめ当該他の各省各庁の長の同意を経なければならない。④　各省各庁の長は、前三項の規定により繰越の手続に関する事務を委任する場合においては、前条第二項の規定により通知を受けた事務の範囲に対応する範囲において、委任しようとする事務の範囲を定めて委任しなければならない。⑤　各省各庁の長は、前各項の規定による委任をしたときは、その旨を財務大臣に通知するものとし、財務大臣は、その通知があつたときは、その旨を関係の財務局長又は福岡財務支局長に通知するものとする。,予算決算及び会計令第２５条の４　各省各庁の長は、会計法第四十六条の二の規定により、繰越しの手続に関する事務を委任する場合においては、繰越しに係る経費の支出負担行為を行なうべき支出負担行為担当官に委任するものとする。ただし、各省各庁の長が必要があると認めるときは、当該支出負担行為担当官以外の職員に委任することができる。②　各省各庁の長は、前項ただし書の場合においては、当該各省各庁又は他の各省各庁に置かれた官職を指定することにより、その官職にある者に当該事務を委任することができる。③　各省各庁の長は、第一項ただし書の場合において、その委任しようとする職員が他の各省各庁所属の職員であるときは、当該職員（当該職員が前項の規定により指定される官職にある者である場合においては、その官職）について、あらかじめ当該他の各省各庁の長の承認を経なければならない。④　各省各庁の長は、前三項の規定により繰越の手続に関する事務を委任する場合においては、前条第二項の規定により通知を受けた事務の範囲に対応する範囲において、委任しようとする事務の範囲を定めて委任しなければならない。⑤　各省各庁の長は、前各項の規定による委任をしたときは、その旨を財務大臣に通知するものとし、財務大臣は、その通知があつたときは、その旨を関係の財務局長又は福岡財務支局長に通知するものとする。,第３項の「同意」を「承認」に変更している点が誤り。正しくは「同意」である。,2026_08_15,m,-,-,-
182,1,中級,会計,予算決算及び会計令,予算決算及び会計令第４２条　官署支出官は、支出の決定をするときは、その経費に係る支出負担行為が確認又は認証されたものであるかどうか及び第百三十四条に規定する支出負担行為差引簿に登記されているかどうかを調査し、当該経費の金額を算定し、かつ、当該経費は、示達を受けた支払計画の金額を超過することがないかどうか並びに所属年度及び歳出科目を誤ることがないかどうかを調査しなければならない。,予算決算及び会計令第４２条　官署支出官は、支出の決定をするときは、その経費に係る支出負担行為が確認又は認証されたものであるかどうか及び第百三十四条に規定する支出負担行為差引簿に登記されているかどうかを調査し、当該経費の金額を算定し、かつ、当該経費は、示達を受けた支払計画の金額を超過することがないかどうか並びに所属年度及び歳入科目を誤ることがないかどうかを調査しなければならない。,「歳出科目」を「歳入科目」に変更している点が誤り。正しくは「歳出科目」である。,2026_08_15,m,-,-,-
